4.39375   0
4.395   0
4.39625   0
4.3975   0
4.39875   0
4.4   0
4.40125   0
4.4025   0
4.40375   0
4.405   0
4.40625   0
4.4075   0
4.40875   0
4.41   0
4.41125   0
4.4125   0
4.41375   0
4.415   0
4.41625   0
4.4175   0
4.41875   0
4.42   0
4.42125   0
4.4225   0
4.42375   0
4.425   0
4.42625   0
4.4275   0
4.42875   0
4.43   0
4.43125   0
4.4325   0
4.43375   0
4.435   0
4.43625   0
4.4375   0
4.43875   0
4.44   0
4.44125   0
4.4425   0
4.44375   0
4.445   0
4.44625   0
4.4475   0
4.44875   0
4.45   0
4.45125   0
4.4525   0
4.45375   0
4.455   0
4.45625   0
4.4575   0
4.45875   0
4.46   0
4.46125   0
4.4625   0
4.46375   0
4.465   0
4.46625   0
4.4675   0
4.46875   0
4.47   0
4.47125   0
4.4725   0
4.47375   0
4.475   0
4.47625   0
4.4775   0
4.47875   0
4.48   0
4.48125   0
4.4825   0
4.48375   0
4.485   0
4.48625   0
4.4875   0
4.48875   0
4.49   0
4.49125   0
4.4925   0
4.49375   0
4.495   0
4.49625   0
4.4975   0
4.49875   0
4.5   0
4.50125   0
4.5025   0
4.50375   0
4.505   0
4.50625   0
4.5075   0
4.50875   0
4.51   0
4.51125   0
4.5125   0
4.51375   0
4.515   0
4.51625   0
4.5175   0
4.51875   0
4.52   0
4.52125   0
4.5225   0
4.52375   0
4.525   0
4.52625   0
4.5275   0
4.52875   0
4.53   0
4.53125   0
4.5325   0
4.53375   0
4.535   0
4.53625   0
4.5375   0
4.53875   0
4.54   0
4.54125   0
4.5425   0
4.54375   0
4.545   0
4.54625   0
4.5475   0
4.54875   0
4.55   0
4.55125   0
4.5525   0
4.55375   0
4.555   0
4.55625   0
4.5575   0
4.55875   0
4.56   0
4.56125   0
4.5625   0
4.56375   0
4.565   0
4.56625   0
4.5675   0
4.56875   0
4.57   0
4.57125   0
4.5725   0
4.57375   0
4.575   0
4.57625   0
4.5775   0
4.57875   0
4.58   0
4.58125   0
4.5825   0
4.58375   0
4.585   0
4.58625   0
4.5875   0
4.58875   0
4.59   0
4.59125   0
4.5925   0
4.59375   0
4.595   0
4.59625   0
4.5975   0
4.59875   0
4.6   0
4.60125   0
4.6025   0
4.60375   0
4.605   0
4.60625   0
4.6075   0
4.60875   0
4.61   0
4.61125   0
4.6125   0
4.61375   0
4.615   0
4.61625   0
4.6175   0
4.61875   0
4.62   0
4.62125   0
4.6225   0
4.62375   0
4.625   0
4.62625   0
4.6275   0
4.62875   0
4.63   0
4.63125   0
4.6325   0
4.63375   0
4.635   0
4.63625   0
4.6375   0
4.63875   0
4.64   0
4.64125   0
4.6425   0
4.64375   0
4.645   0
4.64625   0
4.6475   0
4.64875   0
4.65   0
4.65125   0
4.6525   0
4.65375   0
4.655   0
4.65625   0
4.6575   0
4.65875   0
4.66   0
4.66125   0
4.6625   0
4.66375   0
4.665   0
4.66625   0
4.6675   0
4.66875   0
4.67   0
4.67125   0
4.6725   0
4.67375   0
4.675   0
4.67625   0
4.6775   0
4.67875   0
4.68   0
4.68125   0
4.6825   0
4.68375   0
4.685   0
4.68625   0
4.6875   0
4.68875   0
4.69   0
4.69125   0
4.6925   0
4.69375   0
4.695   0
4.69625   0
4.6975   0
4.69875   0
4.7   0
4.70125   0
4.7025   0
4.70375   0
4.705   0
4.70625   0
4.7075   0
4.70875   0
4.71   0
4.71125   0
4.7125   0
4.71375   0
4.715   0
4.71625   0
4.7175   0
4.71875   0
4.72   0
4.72125   0
4.7225   0
4.72375   0
4.725   0
4.72625   0
4.7275   0
4.72875   0
4.73   0
4.73125   0
4.7325   0
4.73375   0
4.735   0
4.73625   0
4.7375   0
4.73875   0
4.74   0
4.74125   0
4.7425   0
4.74375   0
4.745   0
4.74625   0
4.7475   0
4.74875   0
4.75   0
4.75125   0
4.7525   0
4.75375   0
4.755   0
4.75625   0
4.7575   0
4.75875   0
4.76   0
4.76125   0
4.7625   0
4.76375   0
4.765   0
4.76625   0
4.7675   0
4.76875   0
4.77   0
4.77125   0
4.7725   0
4.77375   0
4.775   0
4.77625   0
4.7775   0
4.77875   0
4.78   0
4.78125   0
4.7825   0
4.78375   0
4.785   0
4.78625   0
4.7875   0
4.78875   0
4.79   0
4.79125   0
4.7925   0
4.79375   0
4.795   0
4.79625   0
4.7975   0
4.79875   0
4.8   0
4.80125   0
4.8025   0
4.80375   0
4.805   0
4.80625   0
4.8075   0
4.80875   0
4.81   0
4.81125   0
4.8125   0
4.81375   0
4.815   0
4.81625   0
4.8175   0
4.81875   0
4.82   0
4.82125   0
4.8225   0
4.82375   0
4.825   0
4.82625   0
4.8275   0
4.82875   0
4.83   0
4.83125   0
4.8325   0
4.83375   0
4.835   0
4.83625   0
4.8375   0
4.83875   0
4.84   0
4.84125   0
4.8425   0
4.84375   0
4.845   0
4.84625   0
4.8475   0
4.84875   0
4.85   0
4.85125   0
4.8525   0
4.85375   0
4.855   0
4.85625   0
4.8575   0
4.85875   0
4.86   0
4.86125   0
4.8625   0
4.86375   0
4.865   0
4.86625   0
4.8675   0
4.86875   0
4.87   0
4.87125   0
4.8725   0
4.87375   0
4.875   0
4.87625   0
4.8775   0
4.87875   0
4.88   0
4.88125   0
4.8825   0
4.88375   0
4.885   0
4.88625   0
4.8875   0
4.88875   0
4.89   0
4.89125   0
4.8925   0
4.89375   0
4.895   0
4.89625   0
4.8975   0
4.89875   0
4.9   0
4.90125   0
4.9025   0
4.90375   0
4.905   0
4.90625   0
4.9075   0
4.90875   0
4.91   0
4.91125   0
4.9125   0
4.91375   0
4.915   0
4.91625   0
4.9175   0
4.91875   0
4.92   0
4.92125   0
4.9225   0
4.92375   0
4.925   0
4.92625   0
4.9275   0
4.92875   0
4.93   0
4.93125   0
4.9325   0
4.93375   0
4.935   0
4.93625   0
4.9375   0
4.93875   0
4.94   0
4.94125   0
4.9425   0
4.94375   0
4.945   0
4.94625   0
4.9475   0
4.94875   0
4.95   0
4.95125   0
4.9525   0
4.95375   0
4.955   0
4.95625   0
4.9575   0
4.95875   0
4.96   0
4.96125   0
4.9625   0
4.96375   0
4.965   0
4.96625   0
4.9675   0
4.96875   0
4.97   0
4.97125   0
4.9725   0
4.97375   0
4.975   0
4.97625   0
4.9775   0
4.97875   0
4.98   0
4.98125   0
4.9825   0
4.98375   0
4.985   0
4.98625   0
4.9875   0
4.98875   0
4.99   0
4.99125   0
4.9925   0
4.99375   0
4.995   0
4.99625   0
4.9975   0
